ArUco ID,Translation X (m),Translation Y (m),Translation Z (m)
aruco_1,0.0042652060306617185,-0.04920940354786571,0.0040710305707386575
aruco_10,0.7659980592033573,0.054121859926165694,0.018133162034434987
aruco_2,0.014544927138355708,0.052918320530594386,0.026437252341044472
aruco_3,0.2154053310122114,-0.03704664599908107,0.0730161290178531
aruco_4,0.20918131017205066,0.05278442450917075,0.04667329891525056
aruco_5,0.3963675064944778,-0.04062356417446738,0.054863958328453345
aruco_6,0.3947487370581102,0.053246702472916206,0.05422996202940236
aruco_7,0.5827713720333126,-0.04196109725706958,0.036149425406961866
aruco_8,0.5814496255581243,0.05836108926881457,0.03620401561760984
aruco_9,0.7642665179625933,-0.0404364695011603,0.02969960500313192
