Command,Speed (mm/s),Initial Position (mm),End Position (mm),Time (s),ArUco ID,Translation X (m),Translation Y (m),Translation Z (m),Rotation X,Rotation Y,Rotation Z,Rotation W
P200,240.0,0.0,200.0,1741944811.0403485,aruco_1,0.014989132946803707,-0.04355061807420893,0.023868260579506417,-0.03399334588663245,-0.05559013582993883,0.9978690856191405,-0.0033863621713167602
P200,240.0,0.0,200.0,1741944811.0406733,aruco_5,0.39650940092934583,-0.03902786670740434,0.057095210297242405,0.03157758331654989,-0.003779143640330701,0.9994314336266468,-0.011197053646520754
P200,240.0,0.0,200.0,1741944811.0409696,aruco_7,0.580301557935979,-0.039274282190741416,0.04933624212019194,0.08466339644404011,-0.05562261684356323,0.9948180405817711,0.00867698045906228
P200,240.0,0.0,200.0,1741944811.0412455,aruco_9,0.7626209085164561,-0.03974046949441315,0.03392809253401774,0.03658301521612054,-0.009525873690055215,0.9992809995698168,0.0029008343509108483
P200,240.0,0.0,200.0,1741944811.0415134,aruco_0,0.026157942179128035,0.005273301518316342,0.037046503233023054,-0.041339254927406664,0.04540590335970301,0.998037005704849,-0.012308347018012618
P200,240.0,0.0,200.0,1741944811.1467152,aruco_2,0.014618900675057,0.05534813679114263,0.02594126875771363,0.499488438466664,0.1765569644342506,0.848136277559064,0.0019423741292803878
P200,240.0,0.0,200.0,1741944811.1471882,aruco_8,0.5826058304461001,0.058984176593501754,0.032412565052832853,0.05728519744825071,0.02474662001120122,0.9979867624427872,0.011332391532174415
P200,240.0,0.0,200.0,1741944811.1477818,aruco_4,0.20776226336816422,0.05436991351355114,0.04104198224225952,-0.010539190406795898,0.06072373699328006,0.9980905540280266,0.00409749675521048
P200,240.0,0.0,200.0,1741944811.1483269,aruco_6,0.39471435384947845,0.05452085449415672,0.04488679241374116,0.039971476645879675,0.08181675901132979,0.9957728107757994,-0.012033228728324165
P200,240.0,0.0,200.0,1741944811.1487093,aruco_10,0.7625959400922235,0.0546941014564606,0.026731717004791378,0.03219022489587123,0.01591398072514157,0.9993484968728518,0.0036203122486510777
