Command,Speed,Initial Position,End Position,Time,ArUco ID,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W
P200,200.0,0.0,200.0,1739976470.7907722,aruco_2,-0.011053994544866677,-0.05538983682595883,0.47950694697342733,0.15586470915808526,-0.17287663014460772,-0.6787744546848782,0.6964805081911262
P200,200.0,0.0,200.0,1739976470.7912962,aruco_1,0.023721472221379047,0.1819413617195231,0.5003467634008879,0.25003562473253155,-0.11780967126175518,-0.69361691791141,0.6652057078589928
P200,200.0,0.0,200.0,1739976470.791655,aruco_0,0.06932170050248056,0.06955523725335576,0.5471906005021117,0.2494791612078068,-0.1794342464742438,-0.6679461759949993,0.6777989379551251
P200,200.0,0.0,200.0,1739976470.7919548,aruco_3,0.20822512811903937,0.1313834033061689,0.4594228514742996,0.20815501863699395,-0.1377616344025953,-0.6851935658544761,0.684253602658638
P200,200.0,0.0,200.0,1739976470.79224,aruco_4,0.2592876144927197,-0.0650207934665808,0.47653739431364095,0.1863319341850462,-0.21211886296545396,-0.6758291466578912,0.6808384231104996
P200,200.0,0.0,200.0,1739976470.792526,aruco_6,0.4958138200672698,0.04787609035059463,0.5230673783152424,0.2598223794092948,-0.1854697229152284,-0.6548255118893533,0.6850524482791488
P200,200.0,0.0,200.0,1739976470.7928016,aruco_5,0.46709704536308905,0.1196955263574733,0.48062239909826987,0.22593915847566223,-0.17601214987078292,-0.6723705102813367,0.6825607019343917
P200,200.0,0.0,200.0,1739976470.835823,aruco_1,0.021232379768945916,0.1769220242087808,0.504805326151563,0.24808749511365327,-0.11929585672378705,-0.6898264889824544,0.6695972694734729
P200,200.0,0.0,200.0,1739976470.8366516,aruco_0,-0.0008821554189497455,0.06685917818318514,0.5238184190483651,0.20238383359691253,-0.1356422106732359,-0.6821417573186229,0.6894378816349792
P200,200.0,0.0,200.0,1739976470.8369677,aruco_3,0.20822512811903937,0.1313834033061689,0.4594228514742996,0.20815501863699395,-0.1377616344025953,-0.6851935658544761,0.684253602658638
P200,200.0,0.0,200.0,1739976470.8372555,aruco_4,0.2872363917002255,-0.03386120548566103,0.5081065442983104,0.21963223193627515,-0.21844755946489472,-0.6619093852044844,0.6825820885543855
P200,200.0,0.0,200.0,1739976470.837555,aruco_6,0.4958138200672698,0.04787609035059463,0.5230673783152424,0.2598223794092948,-0.1854697229152284,-0.6548255118893533,0.6850524482791488
P200,200.0,0.0,200.0,1739976470.837833,aruco_5,0.48038726727836945,0.10560306018184927,0.4889048782727283,0.2247465288095257,-0.19074465954643144,-0.6684708696439682,0.682826598999791
P200,200.0,0.0,200.0,1739976470.838125,aruco_2,-0.21730505447165954,0.12125553730205096,0.4916764783885106,0.13823228150889214,0.050779453040835525,-0.711556825568037,0.687022679839305
P200,200.0,0.0,200.0,1739976470.884902,aruco_2,-0.21730505447165954,0.12125553730205096,0.4916764783885106,0.13823228150889214,0.050779453040835525,-0.711556825568037,0.687022679839305
P200,200.0,0.0,200.0,1739976470.885584,aruco_1,0.05019633410630871,0.1783107867166749,0.5048246565688692,0.262776587230592,-0.13480522770449607,-0.6918348928914313,0.6588933840924494
