Command,Speed (mm/s),Initial Position (mm),End Position (mm),Current Position (mm),Time (s),ArUco ID,Translation X (mm),Translation Y (mm),Translation Z (mm),Rotation X,Rotation Y,Rotation Z,Rotation W
V10,200.0,0.0,0.0,0.0,1742199599.3093114,aruco_8,584.237095944738,59.123998977861284,35.380003197104216,-0.005637872719822335,0.0400867576154698,0.9989240450960496,-0.02262760828962515
V10,200.0,0.0,0.0,0.0,1742199599.3097153,aruco_2,23.79548122114383,53.079241112832584,38.071251311702966,-0.04513363643013581,0.056022406856688,0.9973177861478615,-0.013478443770615167
V10,200.0,0.0,0.0,0.0,1742199599.3100123,aruco_4,212.14782202508135,53.03517748955176,47.88847859938783,-0.023819756638706634,0.04246404068170549,0.9988131823411168,0.0012812021847717593
V10,200.0,0.0,0.0,0.0,1742199599.3102806,aruco_6,396.990768358976,53.68116705494341,47.57768002340279,-0.038001778529166794,0.08184241541668043,0.9958574425459232,-0.011208401690900906
V10,200.0,0.0,0.0,0.0,1742199599.3105915,aruco_10,765.315807392296,55.372208512462194,25.279526303013554,0.018042251388745514,-0.011832455911502181,0.9997549996220351,-0.004939749857183436
V10,200.0,0.0,0.0,0.0,1742199599.3109062,aruco_0,4.390818981054478,3.5601739732521454,43.95996048636419,0.4729614313450255,0.009268218455792818,0.8806571192105879,0.025779919843635462
V10,200.0,0.0,0.0,0.0,1742199599.311309,aruco_1,12.273898300685705,-47.5258513487007,12.480558242983108,-0.008955920015929824,-0.039044539481096124,0.9991952448985102,0.002041634734035584
V10,200.0,0.0,0.0,0.0,1742199599.3116229,aruco_3,219.3538943286728,-36.06547477604713,78.17538920184175,-0.061253122607006494,-0.013831724563555779,0.9979474288387215,-0.012556184891192776
V10,200.0,0.0,0.0,0.0,1742199599.3119729,aruco_5,399.3319677242873,-39.889816457148704,57.144756219435266,0.09877177629174348,-0.028769919408094553,0.9946820697575229,-0.004898776252692103
V10,200.0,0.0,0.0,0.0,1742199599.3122833,aruco_7,585.8864449077436,-41.048500706759164,35.91982907614144,0.056848356641265835,-0.01740698177147929,0.9982297761744926,0.0016017015528517675
